id,name,district,state,population,lat,lon,area
318,Burscheid,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,18527,51.1,7.11667,27.38
319,Butzbach,Wetteraukreis,Hessen,26476,50.43667,8.66222,106.6
320,Bärnau,Tirschenreuth,Bayern,3055,49.81028,12.43611,74.42
321,Böblingen,Böblingen,Baden-Württemberg,50121,48.68556,9.01528,39.04
322,Böhlen,Leipzig,Sachsen,6662,51.2025,12.38583,24.55
323,Bönnigheim,Ludwigsburg,Baden-Württemberg,8190,49.041,9.095,20.14
324,Bückeburg,Schaumburg,Niedersachsen,19351,52.26083,9.04917,68.84
325,Büdelsdorf,Rendsburg-Eckernförde,Schleswig-Holstein,10466,54.317,9.683,6.24
326,Büdingen,Wetteraukreis,Hessen,22808,50.29083,9.1125,122.87
327,Bühl,Rastatt,Baden-Württemberg,28889,48.69528,8.135,73.21
328,Bünde,Herford,Nordrhein-Westfalen,45376,52.2,8.6,59.3
329,Büren,Paderborn,Nordrhein-Westfalen,21452,51.55,8.567,170.97
330,Bürgel,Saale-Holzland-Kreis,Thüringen,3047,50.94139,11.75389,27.0
331,Bürstadt,Bergstraße,Hessen,16492,49.63333,8.45,34.46
332,Bützow,Rostock,Mecklenburg-Western Pomerania,7829,53.85,11.983,39.7
333,Calau,Oberspreewald-Lausitz,Brandenburg,7734,51.74583,13.95083,162.59
334,Calbe,Salzlandkreis,Sachsen-Anhalt,8299,51.90333,11.77583,56.62
335,Calw,Calw,Baden-Württemberg,23716,48.71667,8.73333,59.88
336,Castrop-Rauxel,Recklinghausen,Nordrhein-Westfalen,73126,51.55,7.317,51.66
337,Celle,Celle,Niedersachsen,69399,52.62556,10.0825,176.01
338,Cham,Cham,Bayern,17053,49.217,12.65,80.67
339,Chemnitz,Urban districts of Germany,Sachsen,244401,50.833,12.917,220.85
340,Clausthal-Zellerfeld,Goslar,Niedersachsen,14844,51.805,10.33556,43.71
341,Clingen,Kyffhäuserkreis,Thüringen,1058,51.21667,10.93333,10.75
342,Cloppenburg,Cloppenburg,Niedersachsen,35966,52.85,8.05,70.62
343,Coburg,Urban district,Bayern,40842,50.267,10.967,48.3
344,Cochem,Cochem-Zell,Rheinland-Pfalz,5256,50.14694,7.16667,21.21
345,Coesfeld,Coesfeld,Nordrhein-Westfalen,36182,51.95,7.167,141.05
346,Colditz,Leipzig,Sachsen,8374,51.12917,12.80694,83.55
347,Cologne,Urban districts of Germany,Nordrhein-Westfalen,1083498,50.93639,6.95278,405.15
348,Constance,Konstanz,Baden-Württemberg,84446,47.667,9.183,55.65
349,Coswig,Meißen,Sachsen,20694,51.133,13.583,25.85
350,Coswig,Wittenberg,Sachsen-Anhalt,11521,51.883,12.433,295.73
351,Cottbus/Chóśebuz,Urban district,Brandenburg,98693,51.76056,14.33417,164.28
352,Crailsheim,Schwäbisch Hall,Baden-Württemberg,34661,49.13472,10.07056,109.08
353,Creglingen,Main-Tauber-Kreis,Baden-Württemberg,4631,49.467,10.033,117.22
354,Creußen,Bayreuth,Bayern,4994,49.8439861,11.622675,64.89
355,Crimmitschau,Zwickau,Sachsen,18167,50.81806,12.3875,61.04
356,Crivitz,Ludwigslust-Parchim,Mecklenburg-Western Pomerania,4780,53.583,11.65,75.48
357,Cuxhaven,Cuxhaven,Niedersachsen,48326,53.86111,8.69444,161.91
358,Daaden,Altenkirchen,Rheinland-Pfalz,4214,50.73972,7.96833,19.56
359,"Dachau, Bavaria",Dachau,Bayern,47680,48.26028,11.43417,34.85
360,Dahlen,Nordsachsen,Sachsen,4189,51.367,13.0,71.68
361,Dahme,Teltow-Fläming,Brandenburg,4862,51.86667,13.43306,162.02
362,Dahn,Südwestpfalz,Rheinland-Pfalz,4572,49.15,7.783,40.75
363,Damme,Vechta,Niedersachsen,17250,52.52083,8.19861,104.45
364,Dannenberg,Lüchow-Dannenberg,Niedersachsen,8117,53.083,11.083,76.31
365,Dargun,Mecklenburgische Seenplatte,Mecklenburg-Western Pomerania,4331,53.883,12.833,117.15
366,Darmstadt,Urban district,Hessen,159174,49.87222,8.65278,122.23
367,Dassel,Northeim,Niedersachsen,9510,51.80333,9.69028,113.02
368,Dassow,Nordwestmecklenburg,Mecklenburg-Western Pomerania,4102,53.91056,10.97222,66.54
369,Datteln,Recklinghausen,Nordrhein-Westfalen,34714,51.65389,7.34167,66.08
370,Daun,Vulkaneifel,Rheinland-Pfalz,8001,50.19861,6.83194,48.97
371,Deggendorf,Deggendorf,Bayern,33750,48.833,12.967,77.21
372,Deidesheim,Bad Dürkheim,Rheinland-Pfalz,3738,49.4075,8.18639,26.53
373,Delbrück,Paderborn,Nordrhein-Westfalen,32039,51.76667,8.56667,157.26
374,Delitzsch,Nordsachsen,Sachsen,24755,51.52639,12.3425,83.57
375,Delmenhorst,Urban district,Niedersachsen,77503,53.05056,8.63167,62.36
376,Demmin,Mecklenburgische Seenplatte,Mecklenburg-Western Pomerania,10523,53.905,13.04389,80.653
377,Dessau-Roßlau,Urban district,Sachsen-Anhalt,79354,51.833,12.25,244.62
378,Detmold,Lippe,Nordrhein-Westfalen,74097,51.93778,8.88333,129.39
379,Dettelbach,Kitzingen,Bayern,7266,49.8,10.183,60.94
380,Dieburg,Darmstadt-Dieburg,Hessen,15537,49.9,8.85,23.11
381,Diemelstadt,Waldeck-Frankenberg,Hessen,5213,51.46,8.98,82.58
382,Diepholz,Diepholz,Niedersachsen,17152,52.60722,8.37111,104.45
383,Dierdorf,Neuwied,Rheinland-Pfalz,5767,50.54889,7.65944,31.9
384,Dietenheim,Alb-Donau-Kreis,Baden-Württemberg,6798,48.21194,10.07333,18.76
385,Dietfurt a.d. Altmühl,Neumarkt in der Oberpfalz,Bayern,6150,49.033,11.583,78.84
386,Dietzenbach,Offenbach,Hessen,34429,50.017,8.783,21.67
387,"Diez, Germany",Rhein-Lahn-Kreis,Rheinland-Pfalz,11072,50.37083,8.01583,12.41
388,Dillenburg,Lahn-Dill-Kreis,Hessen,23261,50.733,8.283,83.88
389,Dillingen an der Donau,Dillingen,Bayern,19314,48.567,10.467,75.59
390,Dillingen,Saarlouis,Saarland,19801,49.35,6.733,22.07
391,Dingelstädt,Eichsfeld,Thüringen,6834,51.31556,10.31944,59.39
392,Dingolfing,Dingolfing-Landau,Bayern,20003,48.633,12.5,44.04
393,Dinkelsbühl,Ansbach,Bayern,11882,49.07083,10.31944,75.19
394,Dinklage,Vechta,Niedersachsen,13158,52.667,8.133,72.65
395,Dinslaken,Wesel,Nordrhein-Westfalen,67338,51.567,6.733,47.67
396,Dippoldiswalde,Sächsische Schweiz-Osterzgebirge,Sachsen,14180,50.89333,13.66667,104.13
397,"Dissen, Lower Saxony",Osnabrück,Niedersachsen,10242,52.117,8.2,31.9
398,Ditzingen,Ludwigsburg,Baden-Württemberg,24719,48.82639,9.06667,30.4
399,Doberlug-Kirchhain,Elbe-Elster,Brandenburg,8686,51.617,13.567,148.93
400,Dohna,Sächsische Schweiz-Osterzgebirge,Sachsen,6163,50.95472,13.8575,28.57
401,Dommitzsch,Nordsachsen,Sachsen,2426,51.65,12.883,30.2
402,Donaueschingen,Schwarzwald-Baar-Kreis,Baden-Württemberg,22205,47.95306,8.50333,104.63
403,Donauwörth,Donau-Ries,Bayern,19593,48.7,10.8,77.02
404,Donzdorf,Göppingen,Baden-Württemberg,10587,48.683,9.817,39.82
405,Dorfen,Erding,Bayern,14790,48.267,12.15,99.6
406,Dormagen,Rhein-Kreis Neuss,Nordrhein-Westfalen,64500,51.1,6.817,85.4
407,Dornburg-Camburg,Saale-Holzland-Kreis,Thüringen,5315,51.05389,11.7075,30.72
408,Dornhan,Rottweil,Baden-Württemberg,6105,48.34944,8.51222,44.93
409,Dornstetten,Freudenstadt,Baden-Württemberg,8095,48.467,8.5,24.21
410,Dorsten,Recklinghausen,Nordrhein-Westfalen,74515,51.66,6.96417,171.0
411,Dortmund,Urban district,Nordrhein-Westfalen,587696,51.517,7.467,280.71
412,Dransfeld,Göttingen,Niedersachsen,4424,51.5,9.767,28.0
413,Drebkau,Spree-Neiße,Brandenburg,5508,51.65,14.217,142.94
414,Dreieich,Offenbach,Hessen,41996,50.0,8.7,53.328
415,Drensteinfurt,Warendorf,Nordrhein-Westfalen,15540,51.79444,7.73917,106.42
416,Dresden,Urban district,Sachsen,556227,51.05,13.74,328.8
417,Drolshagen,Olpe,Nordrhein-Westfalen,11640,51.033,7.767,67.12
418,Duderstadt,Göttingen,Niedersachsen,20281,51.5125,10.25972,95.61
419,Duisburg,Urban district,Nordrhein-Westfalen,495885,51.43472,6.7625,232.82
420,Döbeln,Mittelsachsen,Sachsen,23467,51.11944,13.11278,84.55
421,Döbern,Spree-Neiße,Brandenburg,3166,51.617,14.6,15.73
422,Dömitz,Ludwigslust-Parchim,Mecklenburg-Western Pomerania,2990,53.13833,11.26333,60.38
423,Dülmen,Coesfeld,Nordrhein-Westfalen,46706,51.83083,7.27833,184.49
424,Düren,Düren,Nordrhein-Westfalen,91272,50.8,6.483,85.02
425,Düsseldorf,,Nordrhein-Westfalen,620523,51.233,6.783,217.41
426,Ebeleben,Kyffhäuserkreis,Thüringen,2658,51.28333,10.73333,44.54
427,Eberbach,Rhein-Neckar-Kreis,Baden-Württemberg,14267,49.467,8.983,81.16
428,Ebermannstadt,Forchheim,Bayern,6951,49.767,11.167,49.97
429,Ebern,Haßberge,Bayern,7230,50.1,10.79361,95.02
430,Ebersbach an der Fils,Göppingen,Baden-Württemberg,15558,48.71472,9.52361,26.27
431,Ebersbach-Neugersdorf,Görlitz,Sachsen,11679,51.0,14.6,20.42
432,Ebersberg,Ebersberg,Bayern,12213,48.083,11.967,40.84
433,Eberswalde,Barnim,Brandenburg,40965,52.833,13.833,58.17
434,Eckartsberga,Burgenlandkreis,Sachsen-Anhalt,2322,51.117,11.55,35.95
435,"Eckernförde Eckernföör, Egernførde",Rendsburg-Eckernförde,Schleswig-Holstein,21637,54.47417,9.83778,17.97
436,Edenkoben,Südliche Weinstraße,Rheinland-Pfalz,6698,49.283,8.133,17.9
437,Egeln,Salzlandkreis,Sachsen-Anhalt,3200,51.95,11.433,29.13
438,Eggenfelden,Rottal-Inn,Bayern,13817,48.40389,12.76417,44.5
439,Eggesin,Vorpommern-Greifswald,Mecklenburg-Western Pomerania,4711,53.683,14.083,88.01
440,Ehingen,Alb-Donau-Kreis,Baden-Württemberg,26398,48.28333,9.72361,178.4
441,Ehrenfriedersdorf,Erzgebirgskreis,Sachsen,4638,50.64611,12.96972,15.86
442,Eibelstadt,Würzburg,Bayern,3094,49.7238806,10.0009306,7.07
443,Eibenstock,Erzgebirgskreis,Sachsen,7193,50.49556,12.5975,112.35
444,Eichstätt,Eichstätt,Bayern,13343,48.89194,11.18389,47.78
445,Eilenburg,Nordsachsen,Sachsen,15662,51.46083,12.63583,46.84
446,Einbeck,Northeim,Niedersachsen,30449,51.817,9.867,231.31
447,Eisenach,Wartburgkreis,Thüringen,41970,50.97611,10.32056,104.17
448,Eisenberg,Donnersbergkreis,Rheinland-Pfalz,9335,49.56139,8.0725,18.73
449,Eisenberg,Saale-Holzland-Kreis,Thüringen,10704,50.96667,11.9,24.85
450,Eisenhüttenstadt,Oder-Spree,Brandenburg,23373,52.145,14.67278,63.4
451,Eisfeld,Hildburghausen,Thüringen,7575,50.417,10.917,86.53
452,Eisleben,Mansfeld-Südharz,Sachsen-Anhalt,22668,51.517,11.55,143.81
453,Eislingen,Göppingen,Baden-Württemberg,21243,48.69333,9.70667,16.41
454,Ellingen,Weißenburg-Gunzenhausen,Bayern,3960,49.017,10.967,31.25
455,Ellrich,Nordhausen,Thüringen,5394,51.58556,10.66806,69.42
456,Ellwangen,Ostalbkreis,Baden-Württemberg,24477,48.96111,10.13056,127.4
457,Elmshorn,Pinneberg,Schleswig-Holstein,49948,53.75194,9.65111,21.36
458,Elsdorf,Rhein-Erft-Kreis,Nordrhein-Westfalen,21745,50.933,6.567,66.0
459,Elsfleth,Wesermarsch,Niedersachsen,9086,53.233,8.467,115.15
460,Elsterberg,Vogtlandkreis,Sachsen,3828,50.6,12.167,25.1
461,Elsterwerda,Elbe-Elster,Brandenburg,7800,51.45778,13.52389,40.55
462,Elstra,Bautzen,Sachsen,2704,51.22083,14.13083,32.65
463,Elterlein,Erzgebirgskreis,Sachsen,2809,50.57694,12.86722,45.87
464,Eltmann,Haßberge,Bayern,5370,49.967,10.667,39.97
465,Eltville,Rheingau-Taunus-Kreis,Hessen,16946,50.02556,8.11917,46.77
466,Elzach,Emmendingen,Baden-Württemberg,7322,48.17472,8.07167,75.28
467,Elze,Hildesheim,Niedersachsen,8975,52.117,9.733,47.71
468,Emden,Urban district,Niedersachsen,49874,53.36694,7.20611,112.33
469,Emmelshausen,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,4967,50.15528,7.55167,7.91
470,Emmendingen,Emmendingen,Baden-Württemberg,28051,48.12139,7.84917,33.8
471,Emmerich,Kleve,Nordrhein-Westfalen,30869,51.835,6.24528,80.11
472,Emsdetten,Steinfurt,Nordrhein-Westfalen,36068,52.17278,7.53444,72.06
473,Endingen,Emmendingen,Baden-Württemberg,10227,48.14083,7.70639,26.72
474,Engen,Konstanz,Baden-Württemberg,10942,47.85278,8.77139,70.53
475,Enger,Herford,Nordrhein-Westfalen,20469,52.13333,8.56667,41.21
476,Ennepetal,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,30117,51.283,7.333,57.42
477,Ennigerloh,Warendorf,Nordrhein-Westfalen,19554,51.83667,8.02556,125.15
478,Eppelheim,Rhein-Neckar-Kreis,Baden-Württemberg,15276,49.4,8.633,5.7
479,Eppingen,Heilbronn,Baden-Württemberg,22024,49.133,8.917,88.59
480,Eppstein,Main-Taunus-Kreis,Hessen,13620,50.133,8.4,24.21
481,Erbach,Alb-Donau-Kreis,Baden-Württemberg,13728,48.32806,9.88778,63.92
482,Erbach,Odenwaldkreis,Hessen,13813,49.65833,8.99583,62.67
483,Erbendorf,Tirschenreuth,Bayern,5032,49.833,12.05,67.55
484,Erding,Erding,Bayern,36455,48.283,11.9,54.64
485,Erftstadt,Rhein-Erft-Kreis,Nordrhein-Westfalen,50060,50.817,6.767,119.88
486,Erfurt,Urban district,Thüringen,213692,50.98333,11.03333,269.17
487,Erkelenz,Heinsberg,Nordrhein-Westfalen,43275,51.083,6.317,117.35
488,Erkner,Oder-Spree,Brandenburg,11935,52.417,13.75,16.6
489,Erkrath,Mettmann,Nordrhein-Westfalen,43878,51.22389,6.91472,26.89
490,Erlangen,Urban district,Bayern,112385,49.583,11.017,76.95
491,Erlenbach a.Main,Miltenberg,Bayern,10235,49.80389,9.16389,16.33
492,Erlensee,Main-Kinzig-Kreis,Hessen,15428,50.133,8.933,18.59
493,Erwitte,Soest,Nordrhein-Westfalen,16117,51.617,8.35,73.79
494,Eschborn,Main-Taunus-Kreis,Hessen,21641,50.14361,8.57,12.14
495,Eschenbach in der Oberpfalz,Neustadt a.d.Waldnaab,Bayern,4237,49.75,11.817,35.16
496,Eschershausen,Holzminden,Niedersachsen,3461,51.917,9.65,23.87
497,Eschwege,Werra-Meißner-Kreis,Hessen,19365,51.18806,10.05278,63.27
498,Eschweiler,Aachen,Nordrhein-Westfalen,56172,50.817,6.283,76.559
499,Espelkamp,Minden-Lübbecke,Nordrhein-Westfalen,24676,52.37722,8.63278,84.1
500,Essen,Wittmund,Niedersachsen,7310,53.64694,7.61278,26.83
501,Essen,Urban district,Nordrhein-Westfalen,582415,51.45083,7.01306,210.34
502,Esslingen am Neckar,Esslingen,Baden-Württemberg,92722,48.73333,9.31667,46.43
503,Ettenheim,Ortenaukreis,Baden-Württemberg,13500,48.25556,7.81194,48.9
504,Ettlingen,Karlsruhe,Baden-Württemberg,39401,48.933,8.4,56.74
505,Euskirchen,Euskirchen,Nordrhein-Westfalen,58466,50.65972,6.79167,139.63
506,Eutin,Ostholstein,Schleswig-Holstein,16960,54.13778,10.61806,41.4
507,Falkenberg/Elster,Elbe-Elster,Brandenburg,6317,51.58306,13.23222,81.8
508,Falkensee,Havelland,Brandenburg,44236,52.55833,13.09167,43.3
509,Falkenstein/Harz,Harz,Sachsen-Anhalt,5269,51.733,11.333,102.98
510,Falkenstein,Vogtlandkreis,Sachsen,7888,50.467,12.367,31.06
511,Fehmarn,Ostholstein,Schleswig-Holstein,12875,54.4454,11.1702,185.45
512,Fellbach,Rems-Murr-Kreis,Baden-Württemberg,45430,48.80861,9.27583,27.7
513,Felsberg,Schwalm-Eder-Kreis,Hessen,10568,51.133,9.417,83.27
514,Feuchtwangen,Ansbach,Bayern,12543,49.167,10.317,137.4
515,Filderstadt,Esslingen,Baden-Württemberg,45958,48.68028,9.21833,38.54
516,Finsterwalde,Elbe-Elster,Brandenburg,15968,51.628243,13.71021,76.91
517,Fladungen,Rhön-Grabfeld,Bayern,2203,50.52111,10.14528,46.37
518,Flensburg,Urban district,Schleswig-Holstein,89934,54.78194,9.43667,56.38
519,Florstadt,Wetteraukreis,Hessen,8803,50.31583,8.86306,39.6
520,Flöha,Mittelsachsen,Sachsen,10607,50.85583,13.07139,27.61
521,Flörsheim am Main,Main-Taunus-Kreis,Hessen,21695,50.017,8.433,22.95
522,Forchheim,Forchheim,Bayern,32374,49.71972,11.05806,44.95
523,Forchtenberg,Hohenlohekreis,Baden-Württemberg,5141,49.283,9.567,38.07
524,Forst (Lausitz),Spree-Neiße,Brandenburg,17691,51.733,14.633,109.91
525,Frankenau,Waldeck-Frankenberg,Hessen,2875,51.1,8.933,57.29
526,Frankenberg,Waldeck-Frankenberg,Hessen,17678,51.05889,8.79667,124.87
527,Frankenberg,Mittelsachsen,Sachsen,13784,50.91083,13.03778,65.42
528,Frankenthal (Pfalz),urban district,Rheinland-Pfalz,48750,49.533,8.35,43.78
529,Frankfurt (Oder),Urban district,Brandenburg,57015,52.341944,14.551667,147.61
530,Frankfurt am Main,Urban district,Hessen,764104,50.117,8.683,248.31
531,Franzburg,Vorpommern-Rügen,Mecklenburg-Western Pomerania,1364,54.167,12.867,15.19
532,Frauenstein,Mittelsachsen,Sachsen,2733,50.80194,13.53806,58.83
533,Frechen,Rhein-Erft-Kreis,Nordrhein-Westfalen,51947,50.917,6.817,45.11
534,Freiberg am Neckar,Ludwigsburg,Baden-Württemberg,15976,48.93333,9.2,13.14
535,Freiberg,Mittelsachsen,Sachsen,39948,50.91194,13.34278,48.05
536,Freiburg im Breisgau,Stadtkreis,Baden-Württemberg,230940,47.983,7.85,153.07
537,Freilassing,Berchtesgadener Land,Bayern,17289,47.83333,12.96667,14.79
538,Freinsheim,Bad Dürkheim,Rheinland-Pfalz,4923,49.5075,8.20861,13.61
539,Freising,Freising,Bayern,48872,48.40278,11.74889,88.45
540,Freital,Sächsische Schweiz-Osterzgebirge,Sachsen,39405,51.01667,13.65,40.53
541,Freren,Emsland,Niedersachsen,5115,52.467,7.533,48.81
542,Freudenberg,Main-Tauber-Kreis,Baden-Württemberg,3738,49.75,9.333,34.78
543,Freudenberg,Siegen-Wittgenstein,Nordrhein-Westfalen,17729,50.89972,7.86667,54.48
544,Freudenstadt,Freudenstadt,Baden-Württemberg,23760,48.46333,8.41111,87.58
545,Freyburg,Burgenlandkreis,Sachsen-Anhalt,4578,51.21278,11.76972,46.57
546,Freystadt,Neumarkt in der Oberpfalz,Bayern,9118,49.2,11.317,80.53
547,Freyung,Freyung-Grafenau,Bayern,7135,48.8,13.55,48.64
548,Fridingen,Tuttlingen,Baden-Württemberg,3111,48.02056,8.93278,22.47
549,Friedberg,Aichach-Friedberg,Bayern,29916,48.35,10.983,81.2
550,Friedberg,Wetteraukreis,Hessen,29477,50.333,8.75,50.17
551,Friedland,Oder-Spree,Brandenburg,2954,52.1,14.267,173.21
552,Friedland,Mecklenburgische Seenplatte,Mecklenburg-Western Pomerania,6403,53.65,13.533,141.73
553,Friedrichroda,Gotha,Thüringen,7164,50.86667,10.56667,36.91
554,Friedrichsdorf,Hochtaunuskreis,Hessen,25528,50.25556,8.63972,30.12
555,Friedrichshafen,Bodenseekreis,Baden-Württemberg,61221,47.65,9.483,69.91
556,FriedrichstadtFrederiksstad,Nordfriesland,Schleswig-Holstein,2666,54.367,9.067,4.03
557,Friedrichsthal,Saarbrücken,Saarland,9999,49.32556,7.09611,9.07
558,Friesack,Havelland,Brandenburg,2496,52.73306,12.58306,83.67
559,Friesoythe,Cloppenburg,Niedersachsen,22512,53.02056,7.85861,247.14
560,Fritzlar,Schwalm-Eder-Kreis,Hessen,14805,51.13333,9.28333,88.79
561,Frohburg,Leipzig,Sachsen,12420,51.05611,12.555,145.31
562,Fröndenberg,Unna,Nordrhein-Westfalen,20566,51.47194,7.76583,56.21
563,Fulda,Fulda,Hessen,67980,50.55083,9.67528,104.04
564,Furth im Wald,Cham,Bayern,8923,49.30972,12.84,67.0
565,Furtwangen im Schwarzwald,Schwarzwald-Baar-Kreis,Baden-Württemberg,8960,48.05028,8.20917,82.57
566,Fürstenau,Osnabrück,Niedersachsen,9520,52.517,7.667,78.62
567,Fürstenberg,Oberhavel,Brandenburg,5782,53.18528,13.14556,212.61
568,Fürstenfeldbruck,Fürstenfeldbruck,Bayern,36843,48.17778,11.25556,32.53
569,Fürstenwalde/Spree,Oder-Spree,Brandenburg,31992,52.367,14.067,70.55
570,Fürth,Urban district,Bayern,128223,49.467,11.0,63.35
571,Füssen,Ostallgäu,Bayern,15538,47.567,10.7,43.52
572,Gadebusch,Nordwestmecklenburg,Mecklenburg-Western Pomerania,5461,53.7,11.117,47.65
573,Gaggenau,Rastatt,Baden-Württemberg,29932,48.80389,8.31944,65.05
574,Gaildorf,Schwäbisch Hall,Baden-Württemberg,12147,49.0,9.767,62.56
575,Gammertingen,Sigmaringen,Baden-Württemberg,6370,48.24944,9.2175,52.97
576,Garbsen,Hanover,Niedersachsen,61021,52.41833,9.59806,79.31
577,Garching bei München,Munich,Bayern,17192,48.25,11.65,28.16
578,Gardelegen,Altmarkkreis Salzwedel,Sachsen-Anhalt,22154,52.52639,11.3925,632.43
579,Garding,Nordfriesland,Schleswig-Holstein,2844,54.33056,8.78056,3.06
580,Gartz,Uckermark,Brandenburg,2524,53.2,14.38333,61.69
581,Garz,Vorpommern-Rügen,Mecklenburg-Western Pomerania,2215,54.317,13.35,65.44
582,Gau-Algesheim,Mainz-Bingen,Rheinland-Pfalz,6873,49.95,8.017,13.99
583,Gebesee,Sömmerda,Thüringen,2118,51.11389,10.93472,24.04
584,Gedern,Wetteraukreis,Hessen,7259,50.42444,9.19972,75.24
585,Geesthacht,Lauenburg,Schleswig-Holstein,31160,53.4375,10.3675,33.18
586,Geestland,Cuxhaven,Niedersachsen,30966,53.633,8.75,356.2
587,Gefell,Saale-Orla-Kreis,Thüringen,2465,50.43333,11.85,45.21
588,Gefrees,Bayreuth,Bayern,4251,50.0951389,11.7398361,50.08
589,Gehrden,Hanover,Niedersachsen,15012,52.31167,9.60028,42.97
590,Geilenkirchen,Heinsberg,Nordrhein-Westfalen,27518,50.96528,6.11944,83.0
591,Geisa,Wartburgkreis,Thüringen,4760,50.717,9.967,71.75
592,Geiselhöring,Straubing-Bogen,Bayern,6912,48.82583,12.3925,99.96
593,Geisenfeld,Pfaffenhofen an der Ilm,Bayern,11520,48.667,11.6,88.33
594,Geisenheim,Rheingau-Taunus-Kreis,Hessen,11626,49.98444,7.96722,40.34
595,Geisingen,Tuttlingen,Baden-Württemberg,6339,47.92222,8.64639,73.74
596,Geislingen an der Steige,Göppingen,Baden-Württemberg,28400,48.62444,9.83056,75.83
597,Geislingen,Zollernalbkreis,Baden-Württemberg,5875,48.2875,8.8125,31.95
598,Geithain,Leipzig,Sachsen,6818,51.05,12.683,54.71
599,Geldern,Kleve,Nordrhein-Westfalen,33760,51.51972,6.3325,96.91
600,Gelnhausen,Main-Kinzig-Kreis,Hessen,23208,50.2,9.167,45.18
601,Gelsenkirchen,Urban district,Nordrhein-Westfalen,259105,51.517,7.1,104.84
602,Gemünden am Main,Main-Spessart,Bayern,10006,50.04972,9.70556,75.09
603,Gemünden,Waldeck-Frankenberg,Hessen,3855,50.967,8.967,58.67
604,Gengenbach,Ortenaukreis,Baden-Württemberg,10950,48.4,8.017,61.91
605,Genthin,Jerichower Land,Sachsen-Anhalt,13582,52.4,12.167,230.72
606,Georgsmarienhütte,Osnabrück,Niedersachsen,31778,52.2,8.067,55.41
607,Gerabronn,Schwäbisch Hall,Baden-Württemberg,4297,49.24944,9.92028,40.38
608,Gera,Urban district,Thüringen,92126,50.88056,12.08333,152.19
609,Gerbstedt,Mansfeld-Südharz,Sachsen-Anhalt,6964,51.63306,11.61667,102.28
610,Geretsried,Bad Tölz-Wolfratshausen,Bayern,25380,47.867,11.467,24.65
611,Geringswalde,Mittelsachsen,Sachsen,4212,51.07639,12.90417,29.93
612,Gerlingen,Ludwigsburg,Baden-Württemberg,19784,48.8,9.06528,17.54
613,Germering,Fürstenfeldbruck,Bayern,40511,48.133,11.367,21.61
614,Germersheim,Germersheim,Rheinland-Pfalz,20643,49.21667,8.36667,21.4
615,Gernsbach,Rastatt,Baden-Württemberg,14147,48.76333,8.33417,82.09
616,Gernsheim,Groß-Gerau,Hessen,10640,49.75,8.483,40.11
617,Gerolstein,Vulkaneifel,Rheinland-Pfalz,7721,50.22389,6.66139,64.33
618,Gerolzhofen,Schweinfurt,Bayern,6847,49.9,10.35,18.35
619,Gersfeld,Fulda,Hessen,5480,50.45,9.917,89.37
620,Gersthofen,Augsburg,Bayern,22602,48.417,10.867,33.95
621,Gescher,Borken,Nordrhein-Westfalen,17246,51.95694,7.00556,80.78
622,Geseke,Soest,Nordrhein-Westfalen,21422,51.65,8.517,97.48
623,Gevelsberg,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,30733,51.317,7.333,26.27
624,Geyer,Erzgebirgskreis,Sachsen,3385,50.62361,12.92333,18.76
625,Giengen,Heidenheim,Baden-Württemberg,19711,48.62167,10.245,44.05
626,Giessen,Giessen,Hessen,90131,50.58333,8.66667,72.56
627,Gifhorn,Gifhorn,Niedersachsen,42939,52.48861,10.54639,104.86
628,Ginsheim-Gustavsburg,Groß-Gerau,Hessen,16843,49.983,8.333,13.94
629,Gladbeck,Recklinghausen,Nordrhein-Westfalen,75518,51.567,6.967,35.91
630,Gladenbach,Marburg-Biedenkopf,Hessen,12285,50.76806,8.58278,72.28
631,Glashütte,Sächsische Schweiz-Osterzgebirge,Sachsen,6730,50.85,13.78333,95.57
632,Glauchau,Zwickau,Sachsen,21965,50.82333,12.54444,51.49
633,Glinde,Stormarn,Schleswig-Holstein,18380,53.54056,10.21111,11.22
634,GlücksburgLyksborg,Schleswig-Flensburg,Schleswig-Holstein,6220,54.83361,9.55,39.7
635,Glückstadt,Steinburg,Schleswig-Holstein,10779,53.79167,9.42194,22.76
636,Gnoien,Rostock,Mecklenburg-Western Pomerania,2898,53.967,12.717,41.08
637,Goch,Kleve,Nordrhein-Westfalen,34531,51.68389,6.16194,115.38
638,Goldberg,Ludwigslust-Parchim,Mecklenburg-Western Pomerania,3392,53.567,12.067,64.85
639,Goldkronach,Bayreuth,Bayern,3479,50.0115,11.6873139,30.68
640,Golßen,Dahme-Spreewald,Brandenburg,2507,51.967,13.6,63.29
641,Gommern,Jerichower Land,Sachsen-Anhalt,10484,52.067,11.833,159.96
642,Goslar,Goslar,Niedersachsen,50184,51.90722,10.43,163.71
643,Gotha,Gotha,Thüringen,45273,50.94889,10.71833,69.58
644,Grabow,Ludwigslust-Parchim,Mecklenburg-Western Pomerania,5559,53.267,11.567,72.08
645,Grafenau,Freyung-Grafenau,Bayern,8167,48.85,13.383,63.79
646,Grafenwöhr,Neustadt a.d.Waldnaab,Bayern,6419,49.717,11.9,216.24
